id,input_matrix,output_matrix,functions
28,"[[0 1 1 1 0 0 2 0 0 1]
 [1 0 1 0 1 1 1 0 1 1]
 [0 0 0 0 0 0 0 0 1 0]
 [0 1 0 0 0 0 1 1 1 0]
 [1 1 1 0 0 0 1 0 0 1]
 [1 1 1 1 1 1 0 0 1 0]
 [0 1 1 0 1 0 1 0 1 0]
 [1 0 0 0 1 0 1 1 0 1]
 [0 1 1 1 1 0 0 1 1 1]
 [0 1 0 1 0 0 2 1 1 0]]","[[0 1 1 1 0 0 2 0 0 1]
 [1 0 1 0 1 1 3 0 1 1]
 [0 0 0 0 0 0 2 0 1 0]
 [0 1 0 0 0 0 3 1 1 0]
 [1 1 1 0 0 0 3 0 0 1]
 [1 1 1 1 1 1 2 0 1 0]
 [0 1 1 0 1 0 3 0 1 0]
 [1 0 0 0 1 0 3 1 0 1]
 [0 1 1 1 1 0 2 1 1 1]
 [0 1 0 1 0 0 2 1 1 0]]","['ofcolor', 'first', 'last', 'connect', 'toindices', 'difference', 'lbind', 'rbind', 'compose', 'fork', 'apply', 'paint']"
29,"[[5 5 2 5]
 [2 3 3 2]
 [5 2 5 3]
 [3 5 3 2]]","[[5 5 2 5 5 2 5 5 5 5 2 5 5 2 5 5 5 5 2 5]
 [2 3 3 2 2 3 3 2 2 3 3 2 2 3 3 2 2 3 3 2]
 [5 2 5 3 3 5 2 5 5 2 5 3 3 5 2 5 5 2 5 3]
 [3 5 3 2 2 3 5 3 3 5 3 2 2 3 5 3 3 5 3 2]]","['totuple', 'vmirror', 'hconcat']"
30,"[[9 5 1 5]
 [1 5 9 1]
 [9 1 5 5]
 [5 5 5 1]]","[[9 5 1 5 5 1 5 9 9 5 1 5 5 1 5 9 9 5 1 5]
 [1 5 9 1 1 9 5 1 1 5 9 1 1 9 5 1 1 5 9 1]
 [9 1 5 5 5 5 1 9 9 1 5 5 5 5 1 9 9 1 5 5]
 [5 5 5 1 1 5 5 5 5 5 5 1 1 5 5 5 5 5 5 1]]","['totuple', 'vmirror', 'hconcat']"
31,"[[4 1 1 4]
 [7 7 4 7]
 [1 4 1 1]
 [4 1 1 1]]","[[4 1 1 4 4 1 1 4 4 1 1 4 4 1 1 4 4 1 1 4]
 [7 7 4 7 7 4 7 7 7 7 4 7 7 4 7 7 7 7 4 7]
 [1 4 1 1 1 1 4 1 1 4 1 1 1 1 4 1 1 4 1 1]
 [4 1 1 1 1 1 1 4 4 1 1 1 1 1 1 4 4 1 1 1]]","['totuple', 'vmirror', 'hconcat']"
32,"[[2 2 2 2]
 [8 2 2 2]
 [2 2 8 2]
 [8 2 8 8]]","[[2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2 2]
 [8 2 2 2 2 2 2 8 8 2 2 2 2 2 2 8 8 2 2 2]
 [2 2 8 2 2 8 2 2 2 2 8 2 2 8 2 2 2 2 8 2]
 [8 2 8 8 8 8 2 8 8 2 8 8 8 8 2 8 8 2 8 8]]","['totuple', 'vmirror', 'hconcat']"
33,"[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 2 2 0 0 0 0 0]
 [0 0 0 5 5 2 2 5 5 0 0 0]
 [0 0 0 5 3 3 3 3 5 0 0 0]
 [0 0 2 2 3 1 1 3 2 2 0 0]
 [0 0 2 2 3 1 1 3 2 2 0 0]
 [0 0 0 5 3 3 3 3 5 0 0 0]
 [0 0 0 5 5 2 2 5 5 0 0 0]
 [0 0 0 0 0 2 2 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 2]
 [0 5 5 2]
 [0 5 3 3]
 [2 2 3 1]]","['totuple', 'compress', 'tophalf', 'lefthalf']"
34,"[[0 0 0 2 2 0 0 0 0 0 0 0]
 [0 0 2 2 2 2 0 0 0 0 0 0]
 [0 2 3 1 1 3 2 0 0 0 0 0]
 [2 2 1 0 0 1 2 2 0 0 0 0]
 [2 2 1 0 0 1 2 2 0 0 0 0]
 [0 2 3 1 1 3 2 0 0 0 0 0]
 [0 0 2 2 2 2 0 0 0 0 0 0]
 [0 0 0 2 2 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 2]
 [0 0 2 2]
 [0 2 3 1]
 [2 2 1 0]]","['totuple', 'compress', 'tophalf', 'lefthalf']"
35,"[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 7 7 0 0 7 7 0]
 [0 0 0 0 7 2 2 3 3 2 2 7]
 [0 0 0 0 7 2 8 8 8 8 2 7]
 [0 0 0 0 0 3 8 0 0 8 3 0]
 [0 0 0 0 0 3 8 0 0 8 3 0]
 [0 0 0 0 7 2 8 8 8 8 2 7]
 [0 0 0 0 7 2 2 3 3 2 2 7]
 [0 0 0 0 0 7 7 0 0 7 7 0]]","[[0 7 7 0]
 [7 2 2 3]
 [7 2 8 8]
 [0 3 8 0]]","['totuple', 'compress', 'tophalf', 'lefthalf']"
36,"[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 6 1 1 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 1 3 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 3 9 9 4 7 7 7 7 7 7 7 7]
 [8 7 7 6 1 3 9 9 8 7 7 7 7 7 7 7 8]
 [7 7 6 1 1 3 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 3 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 6 1 1 3 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 6 1 6 1 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 6 7 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 6 7 6 7 7 7 7 7]
 [7 7 7 7 7 7 6 6 4 1 6 1 6 7 7 7 7]
 [7 7 7 7 7 6 1 1 4 3 1 1 6 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 9 3 1 1 6 7 7 7]
 [7 7 7 6 1 1 3 9 4 9 9 3 1 6 7 7 7]
 [7 7 7 6 1 3 9 9 4 9 9 3 1 1 6 7 7]
 [8 7 7 6 1 3 9 9 8 9 9 3 1 6 7 7 8]
 [7 7 6 1 1 3 9 9 4 9 9 3 1 6 7 7 7]
 [7 7 7 6 1 3 9 9 4 9 3 1 1 6 7 7 7]
 [7 7 7 6 1 1 3 9 4 3 1 1 6 7 7 7 7]
 [7 7 7 7 6 1 1 3 4 1 1 6 7 7 7 7 7]
 [7 7 7 7 6 1 6 1 4 6 6 7 7 7 7 7 7]
 [7 7 7 7 7 6 7 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","['lefthalf', 'rot180', 'height', 'width', 'crop', 'vconcat']"
37,"[[7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 1 1 4 7 7 7 7 7 7 7]
 [7 7 7 7 1 2 2 4 7 7 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 1 2 9 9 9 4 7 7 7 7 7 7 7]
 [8 7 7 1 2 9 9 8 7 7 7 7 7 7 8]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 7 7 7 7 7 7 7]
 [7 7 7 7 1 2 2 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 1 1 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]]","[[7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 1 1 4 7 7 7 7 7 7 7]
 [7 7 7 7 1 2 2 4 1 1 7 7 7 7 7]
 [7 7 7 1 2 9 9 4 2 2 1 7 7 7 7]
 [7 7 7 1 2 9 9 4 9 9 2 1 7 7 7]
 [7 7 1 2 9 9 9 4 9 9 2 1 7 7 7]
 [8 7 7 1 2 9 9 8 9 9 2 1 7 7 8]
 [7 7 7 1 2 9 9 4 9 9 9 2 1 7 7]
 [7 7 7 1 2 9 9 4 9 9 2 1 7 7 7]
 [7 7 7 7 1 2 2 4 9 9 2 1 7 7 7]
 [7 7 7 7 7 1 1 4 2 2 1 7 7 7 7]
 [7 7 7 7 7 7 7 4 1 1 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 4 7 7 7 7 7 7 7]]","['lefthalf', 'rot180', 'height', 'width', 'crop', 'vconcat']"
38,"[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 5 5 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 5 5 9 9 4 7 7 7 7 7 7 7 7]
 [8 7 5 5 9 9 1 1 8 7 7 7 7 7 7 7 8]
 [7 7 5 9 1 1 1 1 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 1 1 1 1 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 5 9 9 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 5 5 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 5 5 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","[[7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 5 5 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 9 9 5 5 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 6 6 9 9 5 5 7 7]
 [7 7 7 7 7 7 7 7 4 6 6 6 6 9 5 7 7]
 [7 7 7 7 7 7 7 7 4 6 6 6 6 9 5 7 7]
 [7 7 7 7 7 7 5 5 4 1 1 1 1 9 5 7 7]
 [7 7 7 7 5 5 9 9 4 1 1 1 1 9 5 7 7]
 [8 7 5 5 9 9 1 1 8 1 1 9 9 5 5 7 8]
 [7 7 5 9 1 1 1 1 4 9 9 5 5 7 7 7 7]
 [7 7 5 9 1 1 1 1 4 5 5 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 9 6 6 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 5 5 9 9 6 6 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 5 5 9 9 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 5 5 4 7 7 7 7 7 7 7 7]
 [7 7 7 7 7 7 7 7 4 7 7 7 7 7 7 7 7]]","['lefthalf', 'rot180', 'height', 'width', 'crop', 'vconcat']"
39,"[[1 2 5 5 0 3]
 [3 0 2 3 1 3]
 [1 5 3 5 2 1]
 [2 3 5 1 1 5]
 [3 3 0 1 2 0]
 [3 1 5 1 3 1]]","[[1 7 7 7 7 3]
 [3 7 7 3 1 3]
 [1 7 3 7 7 1]
 [7 3 7 1 1 7]
 [3 3 7 1 7 7]
 [3 1 7 1 3 1]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
40,"[[0 9 5 9]
 [9 2 5 2]
 [0 2 5 1]
 [1 2 9 2]]","[[7 9 7 9]
 [9 2 7 2]
 [7 2 7 7]
 [7 2 9 2]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
41,"[[9 1 2 1 1 2]
 [1 1 2 6 3 6]
 [6 1 6 6 9 6]
 [6 2 9 6 9 3]
 [1 2 6 2 6 1]
 [1 6 3 3 2 3]]","[[7 1 7 1 1 7]
 [1 1 7 6 7 6]
 [6 1 6 6 7 6]
 [6 7 7 6 7 7]
 [1 7 6 7 6 1]
 [1 6 7 7 7 7]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
42,"[[1 2 1 0 0 0]
 [0 6 1 0 1 0]
 [0 4 1 0 2 6]
 [4 1 2 1 1 1]]","[[1 7 1 0 0 0]
 [0 7 1 0 1 0]
 [0 7 1 0 7 7]
 [7 1 7 1 1 1]]","['totuple', 'palette', 'mostcolor', 'mostcommon', 'tuple', 'range', 'colorcount', 'asindices', 'sfilter', 'either', 'equality', 'index', 'difference', 'fill']"
43,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 5 5 5 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 8 8 0 0 0 0 0 0 0 0 0]
 [0 0 0 6 5 5 0 0 9 9 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 4 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 9 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 1 7 1 0 0 0 0 0]
 [0 0 0 3 2 2 0 7 1 7 0 0 0 0 0]
 [0 0 0 2 2 2 0 7 7 7 0 0 0 0 0]
 [0 0 0 3 2 3 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[5 5 5]
 [6 8 8]
 [6 5 5]]","['totuple', 'objects', 'argmax', 'size', 'palette', 'subgrid']"
44,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 9 9 9 0 0 0 7 4 4 0 0 0 0]
 [0 0 8 8 9 0 0 0 7 4 7 0 0 0 0]
 [0 0 8 8 9 0 0 0 7 4 4 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 3 3 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 2 2 0 0 0 0]
 [0 0 0 0 0 0 0 0 1 3 2 0 0 0 0]
 [0 0 3 6 6 0 0 0 0 0 0 0 0 0 0]
 [0 0 3 3 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 6 6 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[1 3 3]
 [1 2 2]
 [1 3 2]]","['totuple', 'objects', 'argmax', 'size', 'palette', 'subgrid']"
45,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 7 5 5 0 0 0 0 0 0 0 0 0 0]
 [0 0 5 7 5 0 0 0 1 6 2 0 0 0 0]
 [0 0 5 7 7 0 0 0 6 1 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 2 6 1 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 3 3 0 0 0 0 0 0 0 0 0 0]
 [0 0 3 3 8 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 3 3 0 0 0 9 4 4 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 9 4 0 0 0 0]
 [0 0 0 0 0 0 0 0 4 4 9 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[1 6 2]
 [6 1 1]
 [2 6 1]]","['totuple', 'objects', 'argmax', 'size', 'palette', 'subgrid']"
46,"[[0 0 3 0 3 3 0 2 2 2 2 0 0 0]
 [3 0 0 0 3 3 0 0 2 2 2 2 0 2]
 [3 3 0 3 0 0 0 2 0 2 0 2 0 2]
 [3 3 3 0 0 0 3 2 2 0 0 0 0 0]]","[[0 0 0 0 0 0 5]
 [0 0 0 0 0 0 0]
 [0 0 0 0 0 5 0]
 [0 0 0 5 5 5 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
47,"[[3 3 3 0 0 3 0 2 0 0 0 2 2 2]
 [0 3 3 3 3 0 3 2 0 0 0 0 0 2]
 [0 0 3 0 3 3 3 0 0 2 2 0 2 2]
 [0 0 0 3 0 0 0 0 0 2 0 2 2 2]]","[[0 0 0 5 0 0 0]
 [0 0 0 0 0 5 0]
 [5 5 0 0 0 0 0]
 [5 5 0 0 0 0 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
48,"[[0 3 3 0 3 0 3 2 0 2 0 0 0 2]
 [3 0 3 0 0 0 0 0 0 0 0 2 2 0]
 [0 3 3 0 0 3 3 0 0 0 0 2 0 2]
 [0 3 3 0 3 0 3 0 2 2 2 0 2 0]]","[[0 0 0 5 0 5 0]
 [0 5 0 5 0 0 5]
 [5 0 0 5 0 0 0]
 [5 0 0 0 0 0 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
49,"[[0 0 3 3 3 3 3 2 2 2 0 0 0 0]
 [3 0 0 0 0 3 0 2 0 0 0 0 0 0]
 [3 0 0 3 3 0 0 0 0 2 2 2 2 0]
 [0 0 0 0 0 3 3 0 0 0 2 2 0 2]]","[[0 0 0 0 0 0 0]
 [0 5 5 5 5 0 5]
 [0 5 0 0 0 0 5]
 [5 5 5 0 0 0 0]]","['totuple', 'lefthalf', 'righthalf', 'cellwise', 'replace']"
50,"[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 8 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 8 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 8 1 1 1 1 1 1 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 8 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 1 0 0]
 [0 0 8 1 1 1 1 1 1 1 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0]]","['totuple', 'ofcolor', 'uppermost', 'lowermost', 'leftmost', 'rightmost', 'connect', 'combine', 'difference', 'fill']"
51,"[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 8 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 8 1 1 1 1 1 1 1 1 1 1 1 1 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0]
 [0 0 0 1 1 1 1 1 1 1 8 1 1 1 1 1 1 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0]]","['totuple', 'ofcolor', 'uppermost', 'lowermost', 'leftmost', 'rightmost', 'connect', 'combine', 'difference', 'fill']"
52,"[[0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 8 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 8 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 0 0 0 0 0 0 0 0 8 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]]","[[0 0 0 0 0 0 0 0 0 0 0 0 0]
 [0 0 1 1 1 1 1 1 8 1 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 8 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 0 0 0 0 0 0 0 1 0 0]
 [0 0 1 1 1 1 1 1 1 1 8 0 0]
 [0 0 0 0 0 0 0 0 0 0 0 0 0]]","['totuple', 'ofcolor', 'uppermost', 'lowermost', 'leftmost', 'rightmost', 'connect', 'combine', 'difference', 'fill']"
53,"[[7 3 8 7]
 [7 8 3 7]
 [7 3 8 7]
 [7 8 3 7]]","[[7 3 8 7]
 [7 7 8 3]
 [7 3 8 7]
 [7 7 8 3]]","['objects', 'chain', 'mfilter', 'move']"
54,"[[0 5 7 7 7 7]
 [5 0 7 7 7 7]
 [0 5 7 7 7 7]
 [5 0 7 7 7 7]
 [0 5 7 7 7 7]
 [5 0 7 7 7 7]]","[[0 5 7 7 7 7]
 [7 5 0 7 7 7]
 [0 5 7 7 7 7]
 [7 5 0 7 7 7]
 [0 5 7 7 7 7]
 [7 5 0 7 7 7]]","['objects', 'chain', 'mfilter', 'move']"
55,"[[0 1 1 0 1 0 1 0 0 0 0 0]
 [0 0 1 0 0 1 0 0 1 1 0 0]
 [0 0 1 0 0 0 1 1 1 1 1 0]
 [0 0 0 0 0 0 0 1 0 1 1 0]
 [1 0 1 0 0 1 1 0 0 0 1 1]
 [1 1 0 1 0 0 0 1 1 0 0 0]
 [1 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [2 0 1 1 1 0 0 1 0 0 1 2]
 [0 1 0 0 0 0 0 1 0 1 0 0]
 [1 0 0 0 1 0 0 1 0 1 1 1]
 [0 0 1 0 0 1 0 1 1 0 1 0]]","[[0 1 1 0 1 0 1 0 0 0 0 0]
 [0 0 1 0 0 1 0 0 1 1 0 0]
 [0 0 1 0 0 0 1 1 1 1 1 0]
 [0 0 0 0 0 0 0 1 0 1 1 0]
 [1 0 1 0 0 1 1 0 0 0 1 1]
 [1 1 0 1 0 0 0 1 1 0 0 0]
 [1 0 0 1 0 0 0 0 0 0 0 0]
 [0 0 0 0 1 0 0 0 0 0 0 0]
 [2 2 3 3 3 2 2 3 2 2 3 2]
 [0 1 0 0 0 0 0 1 0 1 0 0]
 [1 0 0 0 1 0 0 1 0 1 1 1]
 [0 0 1 0 0 1 0 1 1 0 1 0]]","['ofcolor', 'first', 'last', 'connect', 'toindices', 'difference', 'lbind', 'rbind', 'compose', 'fork', 'apply', 'paint']"
